"yday","prcp","vp","tmax","tmin","avTemp","sat.vp","RH"
"1",1,0,320,292.15,272.15,282.15,72413.7719243097,0.441904891150373
"2",2,0,680,291.65,279.15,285.4,76054.4153196089,0.894096676889024
"3",3,0,680,294.65,280.65,287.65,78653.5487720692,0.86455094603624
"4",4,1,600,296.65,280.65,288.65,79829.6850512621,0.751600109175821
"5",5,0,800,296.15,282.65,289.4,80720.3289000108,0.99107623928412
"6",6,0,1120,292.65,284.15,288.4,79534.4334139248,1.40819510735826
"7",7,6,1200,289.65,282.65,286.15,76913.5757165597,1.56019270827066
"8",8,5,920,289.15,279.15,284.15,74638.3956474305,1.23260955975769
"9",9,0,600,290.15,276.15,283.15,73519.8068687152,0.816106605219223
"10",10,0,480,289.65,273.65,281.65,71865.4355083971,0.667914967194368
"11",11,0,480,291.15,273.65,282.4,72689.1083992833,0.660346523117806
"12",12,0,440,292.15,273.15,282.65,72965.2254940128,0.603026985829166
"13",13,0,440,291.15,273.15,282.15,72413.7719243097,0.607619225331762
"14",14,0,520,291.15,274.65,282.9,73242.1245399623,0.709973943637146
"15",15,0,480,291.15,274.15,282.65,72965.2254940128,0.657847620904545
"16",16,0,440,290.15,272.65,281.4,71592.4329051639,0.61459009303798
"17",17,0,440,287.15,272.15,279.65,69703.0484323166,0.631249292385327
"18",18,0,320,287.15,269.15,278.15,68113.466659617,0.469804306979608
"19",19,0,320,289.65,269.15,279.4,69436.2109360722,0.460854640087741
"20",20,0,360,292.15,271.15,281.65,71865.4355083971,0.500936225395776
"21",21,0,440,292.15,274.15,283.15,73519.8068687152,0.598478177160763
"22",22,0,520,292.15,275.65,283.9,74357.5668693554,0.699323581840203
"23",23,0,480,292.65,275.15,283.9,74357.5668693554,0.645529460160187
"24",24,0,680,290.65,278.15,284.4,74920.0143678984,0.907634636401465
"25",25,0,600,292.15,277.15,284.65,75202.4243629852,0.797846618752522
"26",26,0,480,293.65,275.65,284.65,75202.4243629852,0.638277295002018
"27",27,4,1200,291.65,282.65,287.15,78070.3375702111,1.53707545957618
"28",28,6,1200,290.65,282.65,286.65,77490.3501064556,1.5485799178239
"29",29,0,680,289.65,277.15,283.4,73798.2738119718,0.921430766433033
"30",30,0,560,287.65,274.15,280.9,71048.7522534128,0.788191181743239
"31",31,0,400,287.65,271.15,279.4,69436.2109360722,0.576068300109676
"32",32,0,400,290.65,271.65,281.15,71320.2055971051,0.560850879005649
"33",33,0,480,292.65,274.65,283.65,74077.5267015446,0.647969797822625
"34",34,0,560,292.65,276.15,284.4,74920.0143678984,0.747463818212971
"35",35,7,720,289.15,276.15,282.65,72965.2254940128,0.986771431356818
"36",36,0,520,284.15,271.65,277.9,67851.1971407732,0.76638294077721
"37",37,0,440,287.15,270.65,278.9,68904.828572714,0.638561925360101
"38",38,0,440,290.15,272.15,281.15,71320.2055971051,0.616935966906213
"39",39,0,480,293.15,273.65,283.4,73798.2738119718,0.650421717482141
"40",40,0,480,297.15,274.65,285.9,76626.3900919977,0.626416042075989
"41",41,0,520,299.15,276.15,287.65,78653.5487720692,0.661127194027713
"42",42,0,560,298.15,277.15,287.65,78653.5487720692,0.711983132029845
"43",43,0,560,297.15,276.65,286.9,77779.9415376072,0.719979970323371
"44",44,0,560,298.15,277.15,287.65,78653.5487720692,0.711983132029845
"45",45,0,920,296.15,282.15,289.15,80422.6314609298,1.1439565993895
"46",46,16,760,289.65,276.65,283.15,73519.8068687152,1.03373503327768
"47",47,11,760,285.15,276.15,280.65,70778.0715434203,1.07377890274075
"48",48,0,640,290.15,274.65,282.4,72689.1083992833,0.880462030823741
"49",49,0,600,294.15,275.15,284.65,75202.4243629852,0.797846618752522
"50",50,0,680,296.15,277.15,286.65,77490.3501064556,0.877528620100209
"51",51,0,760,294.15,278.15,286.15,76913.5757165597,0.98812204857142
"52",52,0,880,291.15,278.65,284.9,75485.6269650108,1.16578484591232
"53",53,0,800,292.15,278.15,285.15,75769.6235063863,1.05583209072244
"54",54,0,1080,292.65,281.65,287.15,78070.3375702111,1.38336791361857
"55",55,0,720,299.65,278.65,289.15,80422.6314609298,0.89527038213091
"56",56,0,880,297.15,280.65,288.9,80125.7506224768,1.09827364257246
"57",57,0,600,297.65,276.65,287.15,78070.3375702111,0.768537729788092
"58",58,0,680,299.65,279.65,289.65,81018.8442731344,0.839310911061077
"59",59,0,520,301.65,278.15,289.9,81318.1789137364,0.63946341020699
"60",60,0,640,302.15,280.15,291.15,82827.1878002085,0.77269314218874
"61",61,0,680,301.15,281.15,291.15,82827.1878002085,0.820986463575536
"62",62,0,720,297.15,280.15,288.65,79829.6850512621,0.901920131010985
"63",63,0,680,292.15,277.65,284.9,75485.6269650108,0.900833744568611
"64",64,0,440,294.65,274.15,284.4,74920.0143678984,0.587293000024477
"65",65,0,520,295.15,276.15,285.65,76340.0037372593,0.681163183839619
"66",66,0,440,293.15,273.65,283.4,73798.2738119718,0.596219907691963
"67",67,0,480,294.15,274.65,284.4,74920.0143678984,0.640683272753975
"68",68,0,520,294.65,276.15,285.4,76054.4153196089,0.683720988209254
"69",69,0,560,295.65,277.65,286.65,77490.3501064556,0.722670628317819
"70",70,0,520,297.65,277.65,287.65,78653.5487720692,0.661127194027713
"71",71,0,480,299.65,277.65,288.65,79829.6850512621,0.601280087340657
"72",72,0,600,300.65,280.15,290.4,81919.311331203,0.732428032230614
"73",73,0,600,300.65,280.65,290.65,82221.1117750132,0.729739585183204
"74",74,0,720,300.15,282.15,291.15,82827.1878002085,0.869279784962332
"75",75,0,600,297.15,279.65,288.4,79534.4334139248,0.754390236084781
"76",76,3,720,292.15,277.65,284.9,75485.6269650108,0.953823964837353
"77",77,4,680,288.15,275.65,281.9,72139.2147377519,0.942621849256342
"78",78,0,480,291.65,274.15,282.9,73242.1245399623,0.655360563357365
"79",79,0,480,297.15,276.15,286.65,77490.3501064556,0.619431967129559
"80",80,0,520,300.65,278.15,289.4,80720.3289000108,0.644199555534678
"81",81,0,520,301.65,279.15,290.4,81919.311331203,0.634770961266532
"82",82,0,520,301.15,278.65,289.9,81318.1789137364,0.63946341020699
"83",83,0,560,301.15,279.65,290.4,81919.311331203,0.683599496748573
"84",84,0,800,302.65,285.15,293.9,86220.0416507697,0.927858517211536
"85",85,0,560,303.65,281.65,292.65,84665.3129870584,0.661427897969974
"86",86,0,560,303.15,281.65,292.4,84356.878394947,0.663846281008834
"87",87,0,520,302.65,282.15,292.4,84356.878394947,0.616428689508203
"88",88,0,520,303.15,282.15,292.65,84665.3129870584,0.614183048114976
"89",89,0,600,302.65,283.65,293.15,85284.6893118454,0.703526042999449
"90",90,0,640,301.65,284.15,292.9,84974.5828482292,0.753166392288252
"91",91,0,520,300.15,281.15,290.65,82221.1117750132,0.632440973825444
"92",92,0,400,302.15,279.15,290.65,82221.1117750132,0.486493056788803
"93",93,0,520,302.15,282.65,292.4,84356.878394947,0.616428689508203
"94",94,0,480,300.15,280.65,290.4,81919.311331203,0.585942425784491
"95",95,0,480,299.15,280.15,289.65,81018.8442731344,0.592454760748996
"96",96,0,400,301.15,280.15,290.65,82221.1117750132,0.486493056788803
"97",97,0,400,302.15,280.65,291.4,83131.46604857,0.481165579067615
"98",98,0,520,301.15,283.65,292.4,84356.878394947,0.616428689508203
"99",99,0,360,301.65,280.65,291.15,82827.1878002085,0.434639892481166
"100",100,0,600,297.65,283.65,290.65,82221.1117750132,0.729739585183204
"101",101,0,400,295.15,279.65,287.4,78361.539537327,0.510454493826608
"102",102,0,280,298.15,277.15,287.65,78653.5487720692,0.355991566014922
"103",103,0,360,301.15,279.65,290.4,81919.311331203,0.439456819338368
"104",104,0,400,305.15,281.65,293.4,85595.6337112638,0.46731355637754
"105",105,0,600,308.15,287.65,297.9,91337.4396840456,0.656904772101692
"106",106,0,480,307.15,283.65,295.4,88113.5145859988,0.544751849083854
"107",107,0,560,304.15,286.15,295.15,87795.8187039436,0.637843587845996
"108",108,0,360,298.65,280.15,289.4,80720.3289000108,0.445984307677854
"109",109,0,320,302.65,277.65,290.15,81618.3341552699,0.39206877144936
"110",110,0,440,305.15,283.15,294.15,86533.5078573949,0.50847355076037
"111",111,0,480,303.15,283.65,293.4,85595.6337112638,0.560776267653049
"112",112,0,360,302.65,280.15,291.4,83131.46604857,0.433049021160854
"113",113,0,360,304.15,280.65,292.4,84356.878394947,0.426758323505679
"114",114,0,400,304.65,282.15,293.4,85595.6337112638,0.46731355637754
"115",115,0,440,303.65,283.15,293.4,85595.6337112638,0.514044912015295
"116",116,0,400,303.65,281.15,292.4,84356.878394947,0.47417591500631
"117",117,0,360,305.15,280.15,292.65,84665.3129870584,0.425203648694984
"118",118,0,520,305.15,285.15,295.15,87795.8187039436,0.592283331571282
"119",119,0,560,306.65,286.65,296.65,89714.7696646979,0.62420045449925
"120",120,0,480,307.65,284.65,296.15,89071.7071683853,0.53889165848431
"121",121,0,600,306.15,287.65,296.9,90037.5851432473,0.666388374416547
"122",122,0,560,302.65,286.65,294.65,87162.9714104168,0.642474655164262
"123",123,0,360,301.15,280.65,290.9,82523.7368201856,0.43623812235311
"124",124,0,400,304.15,281.15,292.65,84665.3129870584,0.472448498549982
"125",125,0,480,306.15,284.65,295.4,88113.5145859988,0.544751849083854
"126",126,0,520,305.65,285.15,295.4,88113.5145859988,0.590147836507509
"127",127,0,480,302.15,284.15,293.15,85284.6893118454,0.562820834399559
"128",128,0,440,302.15,283.15,292.65,84665.3129870584,0.51969334840498
"129",129,0,520,305.15,285.15,295.15,87795.8187039436,0.592283331571282
"130",130,0,640,306.65,288.65,297.65,91011.1844902049,0.703210274193146
"131",131,0,440,306.15,282.65,294.4,86847.8173328908,0.506633342682021
"132",132,0,520,308.65,285.65,297.15,90361.2585520861,0.57546785904964
"133",133,0,600,307.15,287.15,297.15,90361.2585520861,0.664001375826508
"134",134,0,560,302.15,286.15,294.15,86533.5078573949,0.647148155513199
"135",135,0,360,300.65,280.65,290.65,82221.1117750132,0.437843751109923
"136",136,0,480,303.15,284.65,293.9,86220.0416507697,0.556715110326921
"137",137,0,720,303.65,289.65,296.65,89714.7696646979,0.802543441499036
"138",138,0,720,305.65,289.65,297.65,91011.1844902049,0.791111558467289
